2017-11-19 15:40:56,481 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-11-19 15:40:56,724 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-19 15:40:57,005 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-11-19 15:40:57,022 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:Camel&ActiveMQ
2017-11-19 15:40:57,023 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-19 15:40:57,027 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.658 seconds
2017-11-19 15:41:55,704 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-11-19 15:41:55,712 | INFO | CamelTestSupport.java 244 | Testing: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-19 15:41:55,712 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-11-19 15:41:56,479 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-19 15:41:56,481 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-19 15:41:56,560 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-11-19 15:41:56,771 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-19 15:41:56,994 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-11-19 15:41:57,006 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:Camel&ActiveMQ
2017-11-19 15:41:57,008 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-19 15:41:57,011 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.529 seconds
2017-11-19 15:41:57,062 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: 123]
2017-11-19 15:41:57,065 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2017-11-19 15:41:57,065 | INFO | CamelTestSupport.java 390 | Testing done: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-19 15:41:57,065 | INFO | CamelTestSupport.java 391 | Took: 0.053 seconds (53 millis)
2017-11-19 15:41:57,066 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2017-11-19 15:41:57,076 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-19 15:41:57,076 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-11-19 15:41:58,071 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: activemq://queue:Camel&ActiveMQ
2017-11-19 15:41:58,073 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-19 15:41:58,107 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 1.628 seconds
2017-11-19 15:41:58,107 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 1.031 seconds
2017-11-19 15:42:26,853 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-11-19 15:42:26,857 | INFO | CamelTestSupport.java 244 | Testing: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-19 15:42:26,858 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-11-19 15:42:27,504 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-19 15:42:27,505 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-19 15:42:27,575 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-11-19 15:42:27,741 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-19 15:42:28,003 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-11-19 15:42:28,019 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:Camel&ActiveMQ
2017-11-19 15:42:28,019 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-19 15:42:28,022 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.515 seconds
2017-11-19 15:42:28,072 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: 456]
2017-11-19 15:42:28,075 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2017-11-19 15:42:28,076 | INFO | CamelTestSupport.java 390 | Testing done: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-19 15:42:28,077 | INFO | CamelTestSupport.java 391 | Took: 0.053 seconds (53 millis)
2017-11-19 15:42:28,077 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2017-11-19 15:42:28,090 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-19 15:42:28,091 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-11-19 15:42:29,083 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: activemq://queue:Camel&ActiveMQ
2017-11-19 15:42:29,085 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-19 15:42:29,118 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 1.614 seconds
2017-11-19 15:42:29,118 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 1.028 seconds
2017-11-19 15:42:50,450 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-11-19 15:42:50,454 | INFO | CamelTestSupport.java 244 | Testing: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-19 15:42:50,455 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-11-19 15:42:51,178 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-19 15:42:51,179 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-19 15:42:51,296 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-11-19 15:42:51,541 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-19 15:42:51,797 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-11-19 15:42:51,808 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:Camel&ActiveMQ
2017-11-19 15:42:51,809 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-19 15:42:51,812 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.632 seconds
2017-11-20 16:23:46,389 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-11-20 16:23:46,392 | INFO | CamelTestSupport.java 244 | Testing: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-20 16:23:46,393 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-11-20 16:23:47,368 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-20 16:23:47,369 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-20 16:23:47,461 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-11-20 16:23:47,697 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-20 16:23:54,126 | WARN | FailoverTransport.java 1100 | Failed to connect to [tcp://localhost:61616] after: 10 attempt(s) continuing to retry.
2017-11-20 16:25:00,296 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-11-20 16:25:00,398 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:Camel&ActiveMQ
2017-11-20 16:25:00,398 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-20 16:25:00,400 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 1 minute
2017-11-20 16:25:54,774 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: 456]
2017-11-20 16:25:54,778 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2017-11-20 16:25:54,778 | INFO | CamelTestSupport.java 390 | Testing done: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-20 16:25:54,780 | INFO | CamelTestSupport.java 391 | Took: 54.376 seconds (54376 millis)
2017-11-20 16:25:54,781 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2017-11-20 16:25:54,793 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-20 16:25:54,794 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-11-20 16:25:55,779 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: activemq://queue:Camel&ActiveMQ
2017-11-20 16:25:55,780 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-20 16:25:55,794 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 2 minutes
2017-11-20 16:25:55,795 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 1.001 seconds
2017-11-20 16:26:10,608 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-11-20 16:26:10,616 | INFO | CamelTestSupport.java 244 | Testing: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-20 16:26:10,616 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-11-20 16:26:11,349 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-20 16:26:11,350 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-20 16:26:11,451 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-11-20 16:26:11,671 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-20 16:26:11,933 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-11-20 16:26:11,943 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:Camel&ActiveMQ
2017-11-20 16:26:11,944 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-20 16:26:11,947 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.596 seconds
2017-11-20 16:28:05,663 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: 123]
2017-11-20 16:28:05,667 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2017-11-20 16:28:05,667 | INFO | CamelTestSupport.java 390 | Testing done: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-20 16:28:05,667 | INFO | CamelTestSupport.java 391 | Took: 1 minute (113720 millis)
2017-11-20 16:28:05,668 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2017-11-20 16:28:05,677 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-20 16:28:05,678 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-11-20 16:28:06,673 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: activemq://queue:Camel&ActiveMQ
